#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
35.155	399	35.179	610
35.205	406	35.230	631
35.256	417	35.280	650
35.306	431	35.332	665
35.357	449	35.382	675
35.407	467	35.433	680
35.459	487	35.483	681
35.509	507	35.534	675
35.560	525	35.585	665
35.610	541	35.636	650
35.661	554	35.686	632
35.712	563	35.737	611
35.763	568	35.787	589
35.813	568	35.839	565
35.864	564	35.889	544
35.914	555	35.940	523
35.966	543	35.990	507
36.016	527	36.041	494
36.067	508	36.091	484
36.117	488	36.143	481
36.168	468	36.193	482
36.218	448	36.244	489
36.270	429	36.294	500
36.320	414	36.345	515
36.371	401	36.396	533
36.421	393	36.447	553
36.472	389	36.497	574
36.523	390	36.548	596
36.574	396	36.598	616
36.624	406	36.650	634
36.675	420	36.700	649
36.725	437	36.751	660
36.777	456	36.801	667
36.827	478	36.852	669
36.878	499	36.902	667
36.928	519	36.954	660
36.979	537	37.004	649
37.029	553	37.055	634
37.081	564	37.105	617
37.131	572	37.156	598
37.182	574	37.207	577
37.232	572	37.258	558
37.283	565	37.308	539
37.334	554	37.359	523
37.385	538	37.409	510
37.435	520	37.461	500
37.486	499	37.511	494
37.536	477	37.562	493
37.588	456	37.612	497
37.638	436	37.663	504
37.689	417	37.713	516
37.739	402	37.765	531
37.790	392	37.816	547
37.840	385	37.866	565
37.892	384	37.917	584
37.942	388	37.967	602
37.993	396	38.019	618
38.043	409	38.069	633
38.094	426	38.120	644
38.145	446	38.170	652
38.196	466	38.221	656
38.246	489	38.272	656
38.297	511	38.323	652
38.347	531	38.373	644
38.399	549	38.424	634
38.449	564	38.474	620
38.500	573	38.526	604
38.550	578	38.576	587
38.601	579	38.627	570
38.651	573	38.677	553
38.703	564	38.728	539
38.753	550	38.778	526
38.804	532	38.830	516
38.854	510	38.880	509
38.905	489	38.931	506
38.956	466	38.981	507
39.007	444	39.032	512
39.057	423	39.083	520
39.108	406	39.134	532
39.158	392	39.184	544
39.210	384	39.235	560
39.260	380	39.285	574
39.311	381	39.337	591
39.361	388	39.387	606
39.412	399	39.438	619
39.462	415	39.488	629
39.514	434	39.539	637
39.564	455	39.589	642
39.615	478	39.641	644
39.665	501	39.691	642
39.716	523	39.742	638
39.767	544	39.792	630
39.818	560	39.843	620
39.868	572	39.894	607
39.919	580	39.945	593
39.969	583	39.995	579
40.021	580	40.046	565
40.071	572	40.096	552
40.122	560	40.148	540
40.172	542	40.198	531
40.223	523	40.249	524
40.273	499	40.299	520
40.325	477	40.350	519
40.375	453	40.400	521
40.426	431	40.452	527
40.476	412	40.502	534
40.527	396	40.553	545
40.578	384	40.603	555
40.629	378	40.654	568
40.679	377	40.705	580
40.730	381	40.756	594
40.780	391	40.806	605
40.832	405	40.857	615
40.882	423	40.907	623
40.933	444	40.959	628
40.983	467	41.009	631
41.034	491	41.060	631
41.085	515	41.110	628
41.136	536	41.161	624
41.186	554	41.211	617
41.237	569	41.263	607
41.287	579	41.313	596
41.338	585	41.364	585
41.389	585	41.414	575
41.440	579	41.465	563
41.490	569	41.516	554
41.541	553	41.567	545
41.591	533	41.617	539
41.643	511	41.668	534
41.693	488	41.718	532
41.744	464	41.770	533
41.794	441	41.820	535
41.845	419	41.871	540
41.896	401	41.921	547
41.947	388	41.972	555
41.997	379	42.022	564
42.048	375	42.074	575
42.098	376	42.124	585
42.149	384	42.175	593
42.200	396	42.225	602
42.251	412	42.276	608
42.302	433	42.327	614
42.352	455	42.378	617
42.403	479	42.428	618
42.454	503	42.479	618
42.505	527	42.529	614
42.555	548	42.581	609
42.606	564	42.631	604
42.656	577	42.682	597
42.708	584	42.732	589
42.758	587	42.783	581
42.809	584	42.833	573
42.859	575	42.885	565
42.910	562	42.935	558
42.960	545	42.986	553
43.012	523	43.036	549
43.062	500	43.087	546
43.113	476	43.138	545
43.163	452	43.189	546
43.214	429	43.239	549
43.265	409	43.290	552
43.316	393	43.340	557
43.366	382	43.392	565
43.417	376	43.442	571
43.467	374	43.493	578
43.519	379	43.543	584
43.569	389	43.594	590
43.620	404	43.645	596
43.670	422	43.696	600
43.721	445	43.746	603
43.771	468	43.797	605
43.823	493	43.847	604
43.873	516	43.898	605
43.924	538	43.949	602
43.974	557	44.000	599
44.025	572	44.050	595
44.076	582	44.101	590
44.127	587	44.151	585
44.177	586	44.203	580
44.228	580	44.253	574
44.278	569	44.304	570
44.330	553	44.354	566
44.380	534	44.405	562
44.431	511	44.456	560
44.481	487	44.507	560
44.532	463	44.557	559
44.582	439	44.608	560
44.634	418	44.658	561
44.684	400	44.709	563
44.735	387	44.760	567
44.785	378	44.811	570
44.836	374	44.861	574
44.887	376	44.912	578
44.938	384	44.962	581
44.988	397	45.014	584
45.039	414	45.064	587
45.089	434	45.115	590
45.141	457	45.165	591
45.191	481	45.216	592
45.242	505	45.267	592
45.292	528	45.318	591
45.343	548	45.369	590
45.393	565	45.419	588
45.445	576	45.470	588
45.495	584	45.520	585
45.546	586	45.572	583
45.596	583	45.622	581
45.647	574	45.673	579
45.698	561	45.723	576
45.749	543	45.774	575
45.799	522	45.825	574
45.850	498	45.876	573
45.900	474	45.926	572
45.952	451	45.977	571
46.002	429	46.027	571
46.053	409	46.079	573
46.103	394	46.129	572
46.154	382	46.180	572
46.205	377	46.230	573
46.256	376	46.281	574
46.306	382	46.331	575
46.357	391	46.383	576
46.407	407	46.433	577
46.458	425	46.484	578
46.509	446	46.534	579
46.560	470	46.585	579
46.610	494	46.636	580
46.661	517	46.687	581
46.711	538	46.737	581
46.763	556	46.788	581
46.813	570	46.838	583
46.864	579	46.890	583
46.914	584	46.940	584
46.965	584	46.991	584
47.016	577	47.041	585
47.067	566	47.092	585
47.117	550	47.142	584
47.168	531	47.194	585
47.218	509	47.244	584
47.269	486	47.295	583
47.320	462	47.345	583
47.371	440	47.396	582
47.421	419	47.447	581
47.472	403	47.498	580
47.522	390	47.548	577
47.574	382	47.599	575
47.624	378	47.649	573
47.675	380	47.701	572
47.725	389	47.751	570
47.776	401	47.802	569
47.827	417	47.852	568
47.878	437	47.903	568
47.928	459	47.953	569
47.979	482	48.005	568
48.029	506	48.055	570
48.080	527	48.106	572
48.131	547	48.156	574
48.182	562	48.207	577
48.232	573	48.258	580
48.283	581	48.309	583
48.333	582	48.359	586
48.385	578	48.410	588
48.435	570	48.460	591
48.486	556	48.512	593
48.536	539	48.562	594
48.587	519	48.613	595
48.638	496	48.663	595
48.689	474	48.714	594
48.739	451	48.765	591
48.790	430	48.816	590
48.840	412	48.866	586
48.891	397	48.917	582
48.942	387	48.967	578
48.993	382	49.018	574
49.044	382	49.069	570
49.094	387	49.120	566
49.145	397	49.170	564
49.196	411	49.221	560
49.247	429	49.271	559
49.297	450	49.323	558
49.348	472	49.373	558
49.398	494	49.424	560
49.450	516	49.474	562
49.500	536	49.525	566
49.551	553	49.576	570
49.601	566	49.627	575
49.652	574	49.677	580
49.702	578	49.728	585
49.754	577	49.778	590
49.804	571	49.829	595
49.855	560	49.880	599
49.905	545	49.931	602
49.956	527	49.981	604
50.007	506	50.032	605
50.058	484	50.082	605
50.108	462	50.134	602
50.159	441	50.184	599
50.209	422	50.235	594
50.261	407	50.285	590
50.311	395	50.336	584
50.362	388	50.387	577
50.412	386	50.438	571
50.463	388	50.488	565
50.513	396	50.539	559
50.565	408	50.589	554
50.615	423	50.640	551
50.666	442	50.691	549
50.716	462	50.742	547
50.767	484	50.792	549
50.818	505	50.843	552
50.869	525	50.893	555
50.919	543	50.945	561
50.970	557	50.995	568
51.020	567	51.046	574
51.072	573	51.096	582
51.122	575	51.147	590
51.173	570	51.198	596
51.223	562	51.249	602
51.274	549	51.299	608
51.325	533	51.350	612
51.376	515	51.400	614
51.426	494	51.451	615
51.477	473	51.502	613
51.527	453	51.553	609
51.578	434	51.603	604
51.629	417	51.654	598
51.680	404	51.704	591
51.730	396	51.756	582
51.781	391	51.806	574
51.831	391	51.857	565
51.883	396	51.907	557
51.933	406	51.958	550
51.984	419	52.009	545
52.034	435	52.060	541
52.085	454	52.111	538
52.136	474	52.161	540
52.187	494	52.212	540
52.237	514	52.262	546
52.288	532	52.314	551
52.338	547	52.364	559
52.389	558	52.415	568
52.440	566	52.465	577
52.491	568	52.516	587
52.541	567	52.567	596
52.592	561	52.618	605
52.642	552	52.668	613
52.694	538	52.719	618
52.744	521	52.769	621
52.795	503	52.821	623
52.845	483	52.871	623
52.896	464	52.922	620
52.947	445	52.972	615
52.998	428	53.023	608
53.048	415	53.073	599
53.099	405	53.125	589
53.149	397	53.175	578
53.200	396	53.226	568
53.251	399	53.276	557
53.302	406	53.327	549
53.352	417	53.378	541
53.403	431	53.429	535
53.453	447	53.479	530
53.505	465	53.530	531
53.555	485	53.580	530
53.606	503	53.632	535
53.656	521	53.682	541
53.707	537	53.733	549
53.758	549	53.783	559
53.809	558	53.834	570
53.859	562	53.885	581
53.910	564	53.936	594
53.960	559	53.986	604
54.011	552	54.037	614
54.062	541	54.087	623
54.113	526	54.138	627
54.163	510	54.189	631
54.214	492	54.240	631
54.264	474	54.290	629
54.316	456	54.341	625
54.366	439	54.391	617
54.417	425	54.443	608
54.467	414	54.493	597
54.518	406	54.544	585
54.569	402	54.594	573
54.620	404	54.645	560
54.670	408	54.696	549
54.721	416	54.747	539
54.771	428	54.797	530
54.822	443	54.848	526
54.873	459	54.898	522
54.924	476	54.949	522
54.974	493	55.000	526
55.025	511	55.051	531
55.075	525	55.101	540
